"","amines_Phenylethylamine","amines_Putrescine","amino-acids_Glycyl-LGlutamicAcid","amino-acids_L-Arginine","amino-acids_L-Asparagine","amino-acids_L-Serine","amino-acids_L-Threonine","amino-acids_LPhenylalanine","amino-acids_gamma-AminoButyricAcid","carbohydrates_Beta-Methyl-DGlucoside","carbohydrates_D,L-alphaGlycerolPhosphate","carbohydrates_D-Cellobiose","carbohydrates_D-GalactonicAcidgamma-Lactone","carbohydrates_D-Mannitol","carbohydrates_D-Xylose","carbohydrates_Glucose-1-Phosphate","carbohydrates_N-Acetyl-DGlucosamine","carbohydrates_alpha-D-Lactose","carbohydrates_i-Erythritol","carboxylicacids_D-MalicAcid","carboxylicacids_DGalacturonicAcid","carboxylicacids_DGlucosaminicAcid","carboxylicacids_ItaconicAcid","carboxylicacids_PyruvicAcidMethylEster","carboxylicacids_alpha-KetoButyricAcid","phenoliccompound_2-HydroxyBenzoicAcid","phenoliccompound_4-HydroxyBenzoicAcid","polymers_Glycogen","polymers_Tween40","polymers_Tween80","polymers_alpha-Cyclodextrin"
"B_d3_t15_1",2.899666667,2.351666667,0.758666667,2.14033333366667,2.502666667,2.69900000033333,2.21900000033333,2.730666667,2.595666667,1.91200000033333,1.51200000033333,2.478666667,1.57533333366667,2.92233333366667,1.21011111133333,0.242444444666667,2.599666667,1.76100000033333,0.305111111333333,2.23100000033333,2.81733333366667,2.546666667,0.592666667,2.33233333366667,0.239666667,0.637333333666667,2.26433333366667,1.66533333366667,2.34433333366667,2.44200000033333,1.04600000033333
"B_d3_t15_2",3.02933333333333,1.02766666666667,0.45,2.297,2.589,1.26833333333333,2.40000000033333,2.25,2.748,1.709,0.841333333333333,2.55133333333333,0.647,3.47466666666667,0.514333333333333,0.0576666666666667,2.44666666666667,0.492666666666667,0.219666666666667,2.38633333333333,1.79,2.00333333333333,0.368333333333333,2.432,0.950333333333333,0.152,1.956,1.43633333333333,2.44400000033333,2.628,0.523666666666667
"B_d3_t15_3",2.36533333366667,1.72933333366667,0.548333333666667,2.76333333366667,2.47633333366667,2.49100000033333,2.544333333,2.34433333366667,2.69233333366667,1.72700000033333,1.77333333366667,2.75900000033333,0.384666667,3.145666667,1.18633333366667,0.494000000333333,1.900666667,0.841333333666667,0.0470000003333333,2.19633333366667,2.13433333366667,2.507666667,0.548666667,2.352666667,1.129666667,0.176333333,2.01400000033333,1.22633333366667,2.42466666633333,2.50733333366667,0.462333333666667
"B_d3_t15_4",2.622333333,1.320333333,0.299999999666667,2.904333333,2.475333333,1.67599999966667,2.534,2.28499999966667,2.69099999966667,2.155333333,1.540333333,2.555333333,0.0359999996666667,3.163333333,1.33966666633333,1.165333333,2.09166666633333,0.869999999666667,0.193999999666667,1.97566666633333,2.64266666633333,1.964333333,0.535666666333333,2.51266666633333,1.38999999966667,0.116,1.54599999966667,2.129333333,2.42866666666667,2.51799999966667,0.652333333
"B_d3_t1_1",2.61233333366667,2.05500000033333,0.726666667,2.30500000033333,2.964666667,2.42433333366667,2.22000000033333,2.659666667,2.83733333366667,0.508444444666667,1.52200000033333,2.194666667,0.054666667,3.00733333366667,2.833666667,0.168000000333333,2.192666667,1.35600000033333,0.181000000333333,2.09033333366667,2.40400000033333,2.61200000033333,0.689666667,2.39500000033333,1.85300000033333,1.69633333366667,2.66533333366667,2.04833333366667,2.365666667,2.699666667,0.985666667
"B_d3_t1_2",2.81700000033333,2.429666667,0.678000000333333,3.11700000033333,2.850666667,2.34533333366667,2.111666667,2.959666667,2.50533333366667,1.234666667,1.575666667,2.45833333366667,0.683666667,3.35933333366667,2.69700000033333,0.134333333666667,2.41400000033333,0.820666667,0.222000000333333,2.429666667,2.47933333366667,2.516666667,0.973666667,2.390666667,1.33900000033333,1.77700000033333,2.28033333366667,2.05500000033333,2.42900000033333,2.97033333366667,0.939666667
"B_d3_t1_3",2.85333333366667,2.207666667,0.996666667,2.72600000033333,2.46233333366667,2.514333333,2.20700000033333,2.85600000033333,2.798666667,1.79533333366667,1.57200000033333,2.561666667,0.252000000333333,3.25533333366667,2.578666667,0.176000000333333,2.51633333366667,1.581666667,0.178000000333333,2.39533333366667,2.449666667,2.69633333366667,0.885666667,2.341333333,1.51966666633333,1.75566666633333,2.20433333366667,1.99633333366667,2.42000000033333,2.998666667,1.00233333366667
"B_d3_t1_4",2.975333333,1.815333333,0.481333333,2.274333333,2.745333333,2.41500000033333,2.114333333,2.79366666633333,2.62166666633333,0.720888888666667,1.35766666633333,2.34099999966667,0.719222222,3.15166666633333,2.72866666633333,0.135666666333333,2.33966666633333,1.22266666633333,0.156666667,2.137333333,2.31099999966667,2.57766666633333,0.340333333,2.52800000033333,1.44400000033333,1.87900000033333,2.25299999966667,1.80733333366667,2.321333333,2.63599999966667,0.979666666333333
"B_d3_t30_1",2.667666667,1.09733333366667,0.0741111113333333,2.14000000033333,2.376666667,1.03833333366667,2.34700000033333,2.103666667,2.47733333366667,1.75233333366667,0.506666667,2.20300000033333,0.454777778,2.07900000033333,1.70400000033333,0.411444444666667,1.78300000033333,0.526000000333333,0.061888889,1.59500000033333,2.05100000033333,1.831666667,0.055666667,1.99800000033333,0.371000000333333,0.578000000333333,1.08000000033333,0.960000000333333,1.91600000033333,1.56000000033333,0.457666667
"B_d3_t30_2",3.47,1.655,0.213666666666667,2.578,2.43433333333333,0.957333333333333,2.40766666666667,2.85866666666667,2.50333333333333,1.21933333333333,1.16433333333333,2.226,0.369,2.818,2.39233333333333,0.964,2.20666666666667,0.356333333333333,0.0493333333333333,1.64633333333333,2.28233333333333,2.45933333333333,0.152333333333333,2.19933333333333,0.728,1.80866666666667,2.26366666666667,0.917,2.42166666666667,1.26133333333333,0.899666666666667
"B_d3_t30_3",2.36766666666667,0.732,0.166666666666667,0.937666666666667,1.50733333333333,0.815666666666667,2.218333333,1.50933333333333,1.73766666633333,0.501,0.373666666666667,2.03333333333333,0.484222222,1.541,0.263333333333333,0.684333333333333,1.735,0.343666666666667,0.0916666666666667,1.06833333333333,1.12733333333333,0.034,0.082,1.93633333333333,0.0246666666666667,0.0686666666666667,1.64133333333333,1.09333333333333,2.399333333,1.39799999966667,0.434
"B_d3_t30_4",1.996333333,0.671333333,0.350999999666667,1.166333333,1.67399999966667,1.19766666633333,2.35466666633333,0.750333333,2.43166666633333,0.886888888666667,0.448222222,1.804333333,0.434111111,1.56899999966667,0.385888888666667,0,1.197333333,0.419666666333333,0.098111111,0.703666666333333,1.26699999966667,1.459222222,0.0444444443333333,1.48866666633333,0.245666666333333,0.098222222,1.17166666633333,0.819888888666667,2.32666666633333,1.407333333,0.943666666333333
"B_d3_t5_1",3.02100000033333,2.086666667,0.632000000333333,2.456666667,2.53733333366667,2.48033333366667,2.264666667,2.83633333366667,2.61033333366667,1.553666667,1.92500000033333,2.787666667,0.465333333666667,3.047666667,2.420666667,0.824666667,2.51100000033333,0.583999999666667,0.208000000333333,2.42900000033333,2.306666667,2.72700000033333,1.02700000033333,2.39400000033333,1.023666667,1.724666667,2.37400000033333,1.732666667,2.41533333366667,2.402666667,0.950666667
"B_d3_t5_2",3.136333333,1.881333333,0.799333333,2.58199999966667,2.76899999966667,2.41666666633333,2.50599999966667,2.852333333,2.77499999966667,1.35966666633333,1.085333333,2.35099999966667,0.885333333,2.91299999966667,2.516333333,0.405999999666667,2.572333333,0.705333333333333,0.224999999666667,2.34199999966667,2.45366666633333,2.68166666633333,1.008,2.52199999966667,0.766999999666667,1.89399999966667,2.52966666633333,1.861333333,2.40699999966667,2.590333333,1.016333333
"B_d3_t5_3",2.99433333333333,2.14966666666667,0.774666666666667,2.72633333333333,2.71666666666667,2.58466666666667,2.37733333333333,2.87333333333333,2.386,1.39533333333333,1.751,2.64766666666667,0.500333333333333,3.11466666666667,2.41166666666667,0.750333333333333,2.37733333333333,0.678999999666667,0.168,2.29666666666667,2.31833333333333,2.462,0.649999999666667,2.471,1.08033333333333,1.836,2.55566666666667,1.96566666666667,2.50566666666667,2.69133333333333,1.04
